     R     Theta      V_r      V_theta    V_rV_t      V_phi     v_phi     beta
      0.41      5.77     1.2552     2.8122     0.0000     1.5158     0.0000    -2.2390
      1.16      5.77     1.0226     3.9281     0.0000     3.2107     0.0000   -11.3059
      2.09      5.77     0.7538     5.1800     0.0000     4.6520     0.0000   -41.6550
      3.24      5.77     1.6862     4.7202     0.0000     7.9712     0.0000   -14.0925
      4.68      5.77     1.1958     9.9029     0.0000     7.1423     0.0000   -51.1289
      6.46      5.77     2.2563    10.4859     0.0000    12.3653     0.0000   -24.8161
      8.66      5.77     3.7631    14.8489     0.0000    15.1538     0.0000   -14.8931
     11.40      5.77     5.2168    17.0078     0.0000    17.0956     0.0000    -9.6839
     14.80      5.77     6.6121    18.7895     0.0000    19.5310     0.0000    -7.4000
     19.02      5.77     8.0738    19.4906     0.0000    20.8833     0.0000    -5.2590
     24.25      5.77     9.3726    19.2308     0.0000    22.0105     0.0000    -3.8624
     30.75      5.77    11.4424    19.6180     0.0000    22.2902     0.0000    -2.3672
     38.80      5.77    12.6210    18.6703     0.0000    22.2985     0.0000    -1.6549
     48.80      5.77    15.1188    18.2100     0.0000    21.7722     0.0000    -0.7623
     61.21      5.77    16.5751    17.7339     0.0000    21.1685     0.0000    -0.3879
     76.60      5.77    16.2459    17.6303     0.0000    20.1205     0.0000    -0.3558
     95.71      5.77    13.4494    15.3419     0.0000    20.2919     0.0000    -0.7888
    119.41      5.77    13.9704    14.2722     0.0000    18.3328     0.0000    -0.3828
    148.83      5.77    14.1033    12.8281     0.0000    16.5467     0.0000    -0.1019
    185.33      5.77    13.6752    10.6731     0.0000    14.4411     0.0000     0.1379
      0.41     17.56     1.3461     2.5981     0.0000     1.4866     0.0000    -1.4724
      1.16     17.56     1.2594     3.5722     0.0000     3.2782     0.0000    -6.4108
      2.09     17.56     0.9488     4.5518     0.0000     4.0748     0.0000   -19.7283
      3.24     17.56     1.7743     5.0045     0.0000     7.6711     0.0000   -12.3241
      4.68     17.56     1.2679     9.3822     0.0000     7.5693     0.0000   -44.1976
      6.46     17.56     2.3879    10.7833     0.0000    12.2411     0.0000   -22.3353
      8.66     17.56     4.0257    14.8263     0.0000    15.5688     0.0000   -13.2604
     11.40     17.56     5.5443    17.0402     0.0000    17.3163     0.0000    -8.6006
     14.80     17.56     7.0143    18.8535     0.0000    19.5555     0.0000    -6.4987
     19.02     17.56     8.4821    19.5816     0.0000    21.0653     0.0000    -4.7487
     24.25     17.56     9.9594    19.3647     0.0000    22.1289     0.0000    -3.3588
     30.75     17.56    12.1892    19.7106     0.0000    22.3263     0.0000    -1.9849
